ticker,name,source,status,message,parsed_facts,output_record
III,3i GROUP PLC,6af7e0050c_III_2025_NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip!35GDVHRBMFE7NWATNM84-2025-03-31/reports/35GDVHRBMFE7NWATNM84-2025-03-31-T01.html,parsed,ok,339,
III,3i GROUP PLC,6af7e0050c_III_2025_NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip!35GDVHRBMFE7NWATNM84-2025-03-31/www.3i.com/20250331/35GDVHRBMFE7NWATNM84-2025-03-31_pre.xml,empty,parsed 0 numeric facts,0,
III,3i GROUP PLC,6af7e0050c_III_2025_NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip!35GDVHRBMFE7NWATNM84-2025-03-31/www.3i.com/20250331/35GDVHRBMFE7NWATNM84-2025-03-31_def.xml,empty,parsed 0 numeric facts,0,
III,3i GROUP PLC,6af7e0050c_III_2025_NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip!35GDVHRBMFE7NWATNM84-2025-03-31/www.3i.com/20250331/35GDVHRBMFE7NWATNM84-2025-03-31_lab-en.xml,empty,parsed 0 numeric facts,0,
III,3i GROUP PLC,6af7e0050c_III_2025_NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip!35GDVHRBMFE7NWATNM84-2025-03-31/www.3i.com/20250331/35GDVHRBMFE7NWATNM84-2025-03-31_cal.xml,empty,parsed 0 numeric facts,0,
III,3i GROUP PLC,6af7e0050c_III_2025_NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip!35GDVHRBMFE7NWATNM84-2025-03-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
III,3i GROUP PLC,6af7e0050c_III_2025_NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip!35GDVHRBMFE7NWATNM84-2025-03-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
FOUR,4IMPRINT GROUP PLC,b55de50d0a_FOUR_2025_NI-000142872_213800G95T751RN2CT94-2025-12-27.zip!213800G95T751RN2CT94-2025-12-27/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
FOUR,4IMPRINT GROUP PLC,b55de50d0a_FOUR_2025_NI-000142872_213800G95T751RN2CT94-2025-12-27.zip!213800G95T751RN2CT94-2025-12-27/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
FOUR,4IMPRINT GROUP PLC,b55de50d0a_FOUR_2025_NI-000142872_213800G95T751RN2CT94-2025-12-27.zip!213800G95T751RN2CT94-2025-12-27/reports/213800G95T751RN2CT94-2025-12-27-T01.xhtml,parsed,ok,249,
FOUR,4IMPRINT GROUP PLC,b55de50d0a_FOUR_2025_NI-000142872_213800G95T751RN2CT94-2025-12-27.zip!213800G95T751RN2CT94-2025-12-27/imprintgroupplc.com/xbrl/2025/213800G95T751RN2CT94-2025-12-27_cal.xml,empty,parsed 0 numeric facts,0,
FOUR,4IMPRINT GROUP PLC,b55de50d0a_FOUR_2025_NI-000142872_213800G95T751RN2CT94-2025-12-27.zip!213800G95T751RN2CT94-2025-12-27/imprintgroupplc.com/xbrl/2025/213800G95T751RN2CT94-2025-12-27_def.xml,empty,parsed 0 numeric facts,0,
FOUR,4IMPRINT GROUP PLC,b55de50d0a_FOUR_2025_NI-000142872_213800G95T751RN2CT94-2025-12-27.zip!213800G95T751RN2CT94-2025-12-27/imprintgroupplc.com/xbrl/2025/213800G95T751RN2CT94-2025-12-27_lab-en.xml,empty,parsed 0 numeric facts,0,
FOUR,4IMPRINT GROUP PLC,b55de50d0a_FOUR_2025_NI-000142872_213800G95T751RN2CT94-2025-12-27.zip!213800G95T751RN2CT94-2025-12-27/imprintgroupplc.com/xbrl/2025/213800G95T751RN2CT94-2025-12-27_pre.xml,empty,parsed 0 numeric facts,0,
AAS,ABERDEEN GROUP PLC,4539eb2fa3_AAS_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/reports/0TMBS544NMO7GLCE7H90-2025-12-31-T01.html,parsed,ok,449,
AAS,ABERDEEN GROUP PLC,4539eb2fa3_AAS_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
AAS,ABERDEEN GROUP PLC,4539eb2fa3_AAS_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_def.xml,empty,parsed 0 numeric facts,0,
AAS,ABERDEEN GROUP PLC,4539eb2fa3_AAS_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
AAS,ABERDEEN GROUP PLC,4539eb2fa3_AAS_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_cal.xml,empty,parsed 0 numeric facts,0,
AAS,ABERDEEN GROUP PLC,4539eb2fa3_AAS_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
AAS,ABERDEEN GROUP PLC,4539eb2fa3_AAS_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
AAIF,ABERDEEN GROUP PLC,4539eb2fa3_AAIF_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/reports/0TMBS544NMO7GLCE7H90-2025-12-31-T01.html,parsed,ok,449,
AAIF,ABERDEEN GROUP PLC,4539eb2fa3_AAIF_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
AAIF,ABERDEEN GROUP PLC,4539eb2fa3_AAIF_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_def.xml,empty,parsed 0 numeric facts,0,
AAIF,ABERDEEN GROUP PLC,4539eb2fa3_AAIF_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
AAIF,ABERDEEN GROUP PLC,4539eb2fa3_AAIF_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_cal.xml,empty,parsed 0 numeric facts,0,
AAIF,ABERDEEN GROUP PLC,4539eb2fa3_AAIF_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
AAIF,ABERDEEN GROUP PLC,4539eb2fa3_AAIF_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
AEI,ABERDEEN GROUP PLC,4539eb2fa3_AEI_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/reports/0TMBS544NMO7GLCE7H90-2025-12-31-T01.html,parsed,ok,449,
AEI,ABERDEEN GROUP PLC,4539eb2fa3_AEI_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
