ticker,name,isin,lei,market,instrument_type,status,matched_company,matched_lei,url
III,3I GROUP PLC,GB00B1YW4409,,MAIN MARKET,ORD 73 19/22P,matched_nsm_tagged_esef,3i GROUP PLC,35GDVHRBMFE7NWATNM84,https://data.fca.org.uk/artefacts/NSM/Portal/NI-000120870/NI-000120870_35GDVHRBMFE7NWATNM84-2025-03-31.zip
3IN,3I INFRASTRUCTURE PLC,JE00BF5FX167,,MAIN MARKET,ORD NPV,missing_nsm_tagged_esef,,,
4BB,4BASEBIO PLC,GB00BMCLYF79,,AIM,ORD EUR1.00,missing_nsm_tagged_esef,,,
FOUR,4IMPRINT GROUP PLC,GB0006640972,,MAIN MARKET,ORD 38 6/13P,matched_nsm_tagged_esef,4IMPRINT GROUP PLC,213800G95T751RN2CT94,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000142872/NI-000142872_213800G95T751RN2CT94-2025-12-27.zip
80M,80 MILE PLC,GB00BFD3VF20,,AIM,ORD 0.01P,missing_nsm_tagged_esef,,,
88E,88 ENERGY LIMITED,AU00000088E2,,AIM,ORD NPV (DI),missing_nsm_tagged_esef,,,
ABDP,AB DYNAMICS PLC,GB00B9GQVG73,,AIM,ORD 1P,missing_nsm_tagged_esef,,,
AAS,ABERDEEN ASIA FOCUS PLC,GB00BMF19B58,,MAIN MARKET,ORD 5P,matched_nsm_tagged_esef,ABERDEEN GROUP PLC,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip
AAIF,ABERDEEN ASIAN INCOME FUND LIMITED,GB00B0P6J834,,MAIN MARKET,ORD NPV,matched_nsm_tagged_esef,ABERDEEN GROUP PLC,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip
AEI,ABERDEEN EQUITY INCOME TRUST PLC,GB0006039597,,MAIN MARKET,ORD 25P,matched_nsm_tagged_esef,ABERDEEN GROUP PLC,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip
ABDN,ABERDEEN GROUP PLC,GB00BF8Q6K64,,MAIN MARKET,ORD 13 61/63P,matched_nsm_tagged_esef,ABERDEEN GROUP PLC,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip
ANII,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,GB0006048770,,MAIN MARKET,ORD 25P,matched_nsm_tagged_esef,ABERDEEN GROUP PLC,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip
AUSC,ABERDEEN UK SMALLER COMPANIES GROWTH TRUST PLC,GB0002959582,,MAIN MARKET,ORD 25P,matched_nsm_tagged_esef,ABERDEEN GROUP PLC,0TMBS544NMO7GLCE7H90,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141696/NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip
AGVI,ABERFORTH GEARED VALUE & INCOME TRUST PLC,GB00BPJMQ253,,MAIN MARKET,ORD 1P,missing_nsm_tagged_esef,,,
AGZI,ABERFORTH GEARED VALUE & INCOME TRUST PLC,GB00BPJMQ360,,MAIN MARKET,ZDP 1P,missing_nsm_tagged_esef,,,
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,GB0000066554,,MAIN MARKET,ORD 1P,missing_nsm_tagged_esef,,,
