ticker,name,source,status,message,parsed_facts,output_record
III,3I GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
3IN,3I INFRASTRUCTURE PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
4BB,4BASEBIO PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
FOUR,4IMPRINT GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
80M,80 MILE PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
88E,88 ENERGY LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ABDP,AB DYNAMICS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AAS,ABERDEEN ASIA FOCUS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AAIF,ABERDEEN ASIAN INCOME FUND LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEI,ABERDEEN EQUITY INCOME TRUST PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ABDN,ABERDEEN GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ANII,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AUSC,ABERDEEN UK SMALLER COMPANIES GROWTH TRUST PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AGVI,ABERFORTH GEARED VALUE & INCOME TRUST PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AGZI,ABERFORTH GEARED VALUE & INCOME TRUST PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
80JT,"AB ""IGNITIS GRUPE""""""",data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
IGN,"AB ""IGNITIS GRUPE""""""",data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ABDX,ABINGDON HEALTH PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ADIG,ABRDN DIVERSIFIED INCOME AND GROWTH PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ASLI,ABRDN EUROPEAN LOGISTICS INCOME PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ARAW,ABRDN III ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AREG,ABRDN III ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ASCH,ABRDN III ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
API,ABRDN PROPERTY INCOME TRUST LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
EBND,AB SICAV I,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
EYEG,AB SICAV I,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
GLIG,AB SICAV I,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AC8,ACCELER8 VENTURES PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ACSO,ACCESSO TECHNOLOGY GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AXS,ACCSYS TECHNOLOGIES PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ACG,ACG METALS LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AIC,ACHILLES INVESTMENT COMPANY LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEG,ACTIVE ENERGY GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AOM,ACTIVEOPS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ACRM,ACUITY RM GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ZAIM,ADALAN VENTURES PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ADME,ADM ENERGY PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ADM,ADMIRAL GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ADVT,ADVANCEDADVT LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AMS,ADVANCED MEDICAL SOLUTIONS GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
87FZ,AECI LD,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEO,AEOREMA COMMUNICATIONS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEP,AEP PLANTATIONS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEWU,AEW UK REIT PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AFRK,AFARAK GROUP SE,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AFC,AFC ENERGY PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AET,AFENTRA PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AFP,AFRICAN PIONEER PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AOF,AFRICA OPPORTUNITY FUND LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ANIC,AGRONOMICS LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AIBG,AIB GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AIQ,AIQ LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AA80,AIR ASTANA JOINT STOCK COMPANY,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AIRA,AIR ASTANA JOINT STOCK COMPANY,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AIRC,AIR CHINA LD,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AIEA,AIREA PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AAF,AIRTEL AFRICA PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AJB,AJ BELL PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALBA,ALBA MINERAL RESOURCES PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
CRWC,ALBION CROWN VCT PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
CRWN,ALBION CROWN VCT PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AAEV,ALBION ENTERPRISE VCT PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AATG,ALBION TECHNOLOGY & GENERAL VCT PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALFA,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
UFO,ALIEN METALS LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALNA,ALINA HOLDINGS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALK,ALKEMY CAPITAL INVESTMENTS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AGY,ALLERGY THERAPEUTICS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALW,ALLIANCE WITAN PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ATT,ALLIANZ TECHNOLOGY TRUST PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AAAG,ALPHA UCITS SICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
XAAA,ALPHA UCITS SICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AIRE,ALTERNATIVE INCOME REIT PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALF,ALTERNATIVE LIQUIDITY FUND LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALT,ALTITUDE GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
REE,ALTONA RARE EARTHS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALTR,ALT RESOURCES PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALTN,ALTYNGOLD PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALU,ALUMASC GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
78QZ,ALUMINIUM BAHRAIN B.S.C.,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ALBH,ALUMINIUM BAHRAIN B.S.C.,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
DISH,AMALA FOODS PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AMRQ,AMAROQ LTD.,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AMCO,AMCOMRI GROUP PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AA4,AMEDEO AIR FOUR PLUS LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AVAE,AMERICAN CENTURY ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AVCG,AMERICAN CENTURY ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AVEG,AMERICAN CENTURY ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AVEP,AMERICAN CENTURY ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AVEU,AMERICAN CENTURY ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AVGS,AMERICAN CENTURY ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AMIF,AMICORP FS (UK) PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AMGO,AMIGO RESOURCES PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEX,AMINEX PLC,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AMP,AMPEAK ENERGY LIMITED,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
ANRJ,AMUNDI ETF,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
CG1,AMUNDI ETF,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
CLMT,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
GLFI,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
MEGA,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
MSCU,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
MWOT,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
MWOZ,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
MWRL,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
PACW,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
UTEC,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
WEHG,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
WEXU,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
XMGA,AMUNDI ETF ICAV,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
500D,AMUNDI INDEX SOLUTIONS,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
500G,AMUNDI INDEX SOLUTIONS,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AASG,AMUNDI INDEX SOLUTIONS,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEMD,AMUNDI INDEX SOLUTIONS,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEME,AMUNDI INDEX SOLUTIONS,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AEMU,AMUNDI INDEX SOLUTIONS,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
AGHG,AMUNDI INDEX SOLUTIONS,data\uk_lse_full_smoke_universe.csv,universe_placeholder,no official fundamentals matched yet,0,
