ticker,name,isin,lei,market,instrument_type,source,raw_TIDM,raw_Issuer Name,raw_Instrument Name,raw_ISIN,raw_MiFIR Identifier Code,raw_MiFIR Indentifier Name,raw_ICB Industry,raw_ICB Super-Sector Name,raw_Start date,raw_Country of Incorporation,raw_Trading Currency,raw_LSE Market,raw_FCA Listing Category,raw_Market Segment Code,raw_Market Sector Code
III,3I GROUP PLC,GB00B1YW4409,,MAIN MARKET,ORD 73 19/22P,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,III,3I GROUP PLC,ORD 73 19/22P,GB00B1YW4409,SHRS,Shares,Financials,Financial Services,16/07/2007,United Kingdom,GBX,MAIN MARKET,Closed-ended investment funds,SET1,FE10
3IN,3I INFRASTRUCTURE PLC,JE00BF5FX167,,MAIN MARKET,ORD NPV,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,3IN,3I INFRASTRUCTURE PLC,ORD NPV,JE00BF5FX167,SHRS,Shares,Financials,Financial Services,15/03/2018,Jersey,GBX,MAIN MARKET,Closed-ended investment funds,STMM,F25F
4BB,4BASEBIO PLC,GB00BMCLYF79,,AIM,ORD EUR1.00,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,4BB,4BASEBIO PLC,ORD EUR1.00,GB00BMCLYF79,SHRS,Shares,Health Care,Health Care,29/07/2021,United Kingdom,GBX,AIM,,ASQ1,AMQ1
FOUR,4IMPRINT GROUP PLC,GB0006640972,,MAIN MARKET,ORD 38 6/13P,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,FOUR,4IMPRINT GROUP PLC,ORD 38 6/13P,GB0006640972,SHRS,Shares,Consumer Discretionary,Media,18/12/2006,United Kingdom,GBX,MAIN MARKET,Equity shares (commercial companies),STMM,F25T
80M,80 MILE PLC,GB00BFD3VF20,,AIM,ORD 0.01P,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,80M,80 MILE PLC,ORD 0.01P,GB00BFD3VF20,SHRS,Shares,Basic Materials,Basic Resources,02/12/2013,United Kingdom,GBX,AIM,,AMSM,AM25
88E,88 ENERGY LIMITED,AU00000088E2,,AIM,ORD NPV (DI),C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,88E,88 ENERGY LIMITED,ORD NPV (DI),AU00000088E2,SHRS,Shares,Energy,Energy,06/03/2015,Australia,GBX,AIM,,ASQ1,AMQ1
ABDP,AB DYNAMICS PLC,GB00B9GQVG73,,AIM,ORD 1P,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,ABDP,AB DYNAMICS PLC,ORD 1P,GB00B9GQVG73,SHRS,Shares,Consumer Discretionary,Automobiles and Parts,22/05/2013,United Kingdom,GBX,AIM,,AMSM,AS50
AAS,ABERDEEN ASIA FOCUS PLC,GB00BMF19B58,,MAIN MARKET,ORD 5P,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,AAS,ABERDEEN ASIA FOCUS PLC,ORD 5P,GB00BMF19B58,SHRS,Shares,Financials,Financial Services,04/02/2022,United Kingdom,GBX,MAIN MARKET,Closed-ended investment funds,STMM,F25T
AAIF,ABERDEEN ASIAN INCOME FUND LIMITED,GB00B0P6J834,,MAIN MARKET,ORD NPV,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,AAIF,ABERDEEN ASIAN INCOME FUND LIMITED,ORD NPV,GB00B0P6J834,SHRS,Shares,Financials,Financial Services,18/12/2006,Jersey,GBX,MAIN MARKET,Closed-ended investment funds,SSMM,SSC5
AEI,ABERDEEN EQUITY INCOME TRUST PLC,GB0006039597,,MAIN MARKET,ORD 25P,C:\Users\tony960816\OneDrive - 특허법인무한\SP\mr-leon-uk-cache\lse_reports\Instrument_20list_80.xlsx,AEI,ABERDEEN EQUITY INCOME TRUST PLC,ORD 25P,GB0006039597,SHRS,Shares,Financials,Financial Services,29/12/2005,United Kingdom,GBX,MAIN MARKET,Closed-ended investment funds,SSMM,SSC6
