code,name_english,section,sector_33,sector_17,is_class_or_preferred_share
1773,YTL Corporation Berhad,Prime Market(Foreign),Construction,CONSTRUCTION & MATERIALS,False
25935,"Class-A Preferred Stock of ITO EN,LTD.",Prime Market (Domestic),Foods,FOODS,True
464A,QPS Holdings Inc.,Growth Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
4875,"MediciNova,Inc.",Standard Market(Foreign),Pharmaceutical,PHARMACEUTICAL,False
500A,"TO Books,Inc.",Standard Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
504A,Innovacell Inc.,Growth Market(Domestic),Pharmaceutical,PHARMACEUTICAL,False
505A,"Geekly,Inc.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
50765,Series 1 Bond-Type Class Shares of INFRONEER Holdings Inc.,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,True
519A,Basic Inc.,Growth Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
520A,"J-Pharma Co.,Ltd.",Growth Market(Domestic),Pharmaceutical,PHARMACEUTICAL,False
523A,"SEIWA HOLDINGS Co.,Ltd.",Growth Market(Domestic),Metal Products,CONSTRUCTION & MATERIALS,False
542A,Vitabrid Japan Inc.,Growth Market(Domestic),Chemicals,RAW MATERIALS & CHEMICALS,False
543A,ARCHION Corporation,Prime Market (Domestic),Transportation Equipment,AUTOMOBILES & TRANSPORTATION EQUIPMENT,False
544A,"GMS Group Co.,Ltd.",Prime Market (Domestic),Machinery,MACHINERY,False
545A,"Toranvia Co.,Ltd.",Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
546A,"MIRAINI HOLDINGS CO.,LTD.",Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
547A,Muninova Holdings Inc.,Prime Market (Domestic),Other Financing Business,FINANCIALS (EX BANKS),False
548A,"SystemEXE,Inc.",Standard Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
549A,"HITO-TO-HITO Holdings Co.,Ltd.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
550A,"SOFTTEX Co.,Ltd.",Standard Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
554A,"Batonz.Co.,Ltd.",Growth Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
556A,"INUNEKO-SEIKATSU Co.,Ltd.",Growth Market(Domestic),Retail Trade,RETAIL TRADE,False
558A,SQUEEZE Inc.,Growth Market(Domestic),Services,"IT & SERVICES, OTHERS",False
559A,"UMENOYADO BREWERY CO.,LTD.",Standard Market(Domestic),Foods,FOODS,False
75505,"Series 1 Bond-Type Class Shares of ZENSHO HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,True
92025,Series 1 Bond-Type Class Shares of ANA HOLDINGS INC.,Prime Market (Domestic),Air Transportation,TRANSPORTATION & LOGISTICS,True
9399,Beat Holdings Limited,Standard Market(Foreign),Information & Communication,"IT & SERVICES, OTHERS",False
94345,Series 1 Bond-Type Class Shares of SoftBank Corp.,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",True
94346,Series 2 Bond-Type Class Shares of SoftBank Corp,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",True
9692,COMPUTER ENGINEERING & CONSULTING LTD.,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9697,"CAPCOM CO.,LTD.",Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9698,"CREO CO.,LTD.",Standard Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9699,"NISHIO HOLDINGS CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9701,"Tokyo Kaikan Co.,Ltd.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9702,ISB CORPORATION,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9704,"Agora Hospitality Group Co.,Ltd.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9706,"Japan Airport Terminal Co.,ltd.",Prime Market (Domestic),Real Estate,REAL ESTATE,False
9708,"Imperial Hotel,Ltd.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9709,"NCS&A CO.,LTD.",Standard Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9713,"THE ROYAL HOTEL,LIMITED",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9715,transcosmos inc.,Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9716,"NOMURA Co.,Ltd.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9720,"HOTEL NEWGRAND CO.,LTD.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9722,FUJITA KANKO INC.,Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9723,"THE KYOTO HOTEL,LTD.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9726,"KNT-CT Holdings Co.,Ltd.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9729,TOKAI Corp.,Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9731,"Hakuyosha Company,Ltd.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9733,Nagase Brothers Inc.,Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9735,"SECOM CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9739,NSW Inc.,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9740,"CENTRAL SECURITY PATROLS CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9742,INES Corporation,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9743,"TANSEISHA CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9744,MEITEC Group Holdings Inc.,Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9746,TKC Corporation,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9753,IX Knowledge Incorporated,Standard Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9755,OYO Corporation,Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9757,Funai Soken Holdings Incorporated,Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9759,"NSD CO.,LTD.",Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9760,"SHINGAKUKAI HOLDINGS CO.,LTD.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9761,"TOKAI LEASE CO.,LTD.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9763,"Maruken Lease Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9765,"OHBA CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9766,KONAMI GROUP CORPORATION,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9767,"NIKKEN KOGAKU CO.,LTD.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9768,"IDEA Consultants,Inc.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9769,"GAKKYUSHA CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9778,"SUBARU CO.,LTD.",Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9780,HARIMA B.STEM CORPORATION,Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9782,DMS INC.,Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9788,"NAC CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9790,"Fukui Computer Holdings,Inc.",Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9791,BIKEN TECHNO CORPORATION,Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",False
9793,"Daiseki Co.,Ltd.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9795,"STEP CO.,LTD.",Prime Market (Domestic),Services,"IT & SERVICES, OTHERS",False
9799,"ASAHI INTELLIGENCE SERVICE CO.,LTD.",Standard Market(Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9812,"T.O. Holdings CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9816,Striders Corporation,Standard Market(Domestic),Real Estate,REAL ESTATE,False
9818,"DAIMARU ENAWIN Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9820,MT GENEX CORPORATION,Standard Market(Domestic),Real Estate,REAL ESTATE,False
9823,Mammy Mart Holdings Corporation,Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9824,"SENSHU ELECTRIC CO.,LTD.",Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9827,"Lilycolor Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9828,Genki Global Dining Concepts Corporation,Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9830,TRUSCO NAKAYAMA CORPORATION,Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9831,"YAMADA HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9832,"AUTOBACS SEVEN CO.,LTD.",Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9835,"JUNTENDO CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9837,"MORITO CO.,LTD.",Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9842,ARCLANDS CORPORATION,Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9843,"Nitori Holdings Co.,Ltd.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9845,PARKER CORPORATION,Standard Market(Domestic),Chemicals,RAW MATERIALS & CHEMICALS,False
9846,"TENMAYA STORE CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9849,KYODO PAPER HOLDINGS,Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9850,"GOURMET KINEYA CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9853,"GINZA RENOIR CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9854,"AIGAN CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9856,"KU HOLDINGS CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9857,EIWA CORPORATION,Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9861,"YOSHINOYA HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9867,Solekia Limited,Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9869,"KATO SANGYO CO.,LTD.",Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9872,"KITAKEI CO.,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9876,"COX CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9878,"SEKIDO CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9880,INNOTECH CORPORATION,Prime Market (Domestic),Electric Appliances,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,False
9882,YELLOW HAT LTD.,Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9885,"CHARLE CO.,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9887,"MATSUYA FOODS HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9888,"UEX,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9889,JBCC Holdings Inc.,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9890,"MAKIYA CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9895,CONSEC CORPORATION,Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9896,"JK Holdings Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9900,Sagami Holdings Corporation,Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9902,NICHIDEN Corporation,Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9903,"KANSEKI CO.,LTD",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9904,"Verite Co.,Ltd.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9906,Fujii Sangyo Corporation,Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9908,"NIHON DENKEI CO.,LTD",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9913,NIPPO LTD.,Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9914,"Uematsu Shokai Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9927,"WATT MANN CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9928,"MIROKU JYOHO SERVICE CO.,LTD.",Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9929,"HEIWA PAPER CO.,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9930,"KITAZAWA SANGYO CO.,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9932,"SUGIMOTO & CO.,LTD.",Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9934,"INABA DENKISANGYO CO.,LTD.",Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9936,OHSHO FOOD SERVICE CORP.,Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9941,"TAIYO BUSSAN KAISHA,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9946,"MINISTOP CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9948,"ARCS COMPANY,LIMITED",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9950,"HACHI-BAN CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9955,"THE YONKYU CO.,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9956,"VALOR HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9959,"ASEED HOLDINGS CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9960,TOTECH CORPORATION,Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9962,MISUMI Group Inc.,Prime Market (Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9969,"SHOKUBUN CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9972,"ALTECH CO.,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9973,"KOZO Holdings Co.,Ltd.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9974,"Belc CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9976,"SEKICHU CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9978,"BUNKYODO GROUP HOLDINGS CO.,LTD.",Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9979,DAISYO CORPORATION,Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9980,MRK HOLDINGS INC.,Standard Market(Domestic),Retail Trade,RETAIL TRADE,False
9982,"Takihyo Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
9983,"FAST RETAILING CO.,LTD.",Prime Market (Domestic),Retail Trade,RETAIL TRADE,False
9984,SoftBank Group Corp.,Prime Market (Domestic),Information & Communication,"IT & SERVICES, OTHERS",False
9986,"ZAOH COMPANY,LTD.",Standard Market(Domestic),Wholesale Trade,COMMERCIAL & WHOLESALE TRADE,False
